layer,dataset,pca_radius,pca_mse,pca_r2,orig_radius,orig_mse,orig_r2,orig_dims
0,temporal,0.3782034395285895,0.0011859590205130928,0.9907160767558196,0.5086429575912114,1.3735779309750048e-22,1.0,2048
1,temporal,0.6001366116492892,0.00353491783814821,0.9894040422714637,1.807375151284462,1.3744594849022668e-20,1.0,2048
2,temporal,0.7053445633633153,0.0022521055643921987,0.9949901116961339,2.2342831740468303,2.1238336439275172e-20,1.0,2048
3,temporal,0.9095028208349643,0.001890761935804739,0.9974010094105696,3.4277419476026867,1.9319729010727075e-21,1.0,2048
4,temporal,1.1161561835533427,0.011845240239980598,0.9897616418989971,4.371398028181712,1.0762679569767715e-19,1.0,2048
5,temporal,1.1436589427506076,0.009058713582258446,0.9928139836506178,4.813804506270071,1.5591015502452162e-18,1.0,2048
6,temporal,1.120252018240314,0.021520359182234085,0.9824876267434632,6.017724894916862,7.173418311937476e-19,1.0,2048
7,temporal,1.0588609345035827,0.09743529859763923,0.9190273290850246,7.751328504944144,1.000817401915105e-18,1.0,2048
8,temporal,1.1905145314788779,0.054122715169739405,0.9625111801715152,5.771750583791006,2.194517103727139e-19,1.0,2048
9,temporal,1.2871553250986962,0.023438674822592875,0.985706856588433,6.948814758054651,9.870605756414655e-19,1.0,2048
10,temporal,1.4580813591063433,0.0346888646155385,0.9838046377342727,6.939355910089033,3.7546911529996254e-19,1.0,2048
11,temporal,1.7931086945482773,0.05744335405527657,0.9824096269404561,8.689995752755262,8.911547854388222e-19,1.0,2048
12,temporal,1.9943721327186994,0.08720682820232953,0.9785123797953806,10.428362802494576,8.249338010979056e-20,1.0,2048
13,temporal,2.3231827233730074,0.16850013839632091,0.9694102779599084,13.128223655529474,3.973091590353631e-19,1.0,2048
14,temporal,2.848928566522422,0.07997573318618494,0.9899296659418999,15.789016379986787,1.0206914912646207e-19,1.0,2048
15,temporal,3.0598981688587905,0.08633427250279374,0.9906210289098244,17.472404213005248,6.457217585595189e-24,1.0,2048
16,temporal,8.336517086099423,12.719556287714294,0.8318801766531575,74.15930994981416,7.774174325006489e-20,1.0,2048
0,control,0.8755412527834426,7.703718400690753e-17,0.9999999999999992,0.8760162161628211,1.4417736769292062e-20,1.0,2048
1,control,1.883704281023371,0.003777927553241227,0.9929471594855188,2.8885615489672407,3.28665723115569e-16,0.9999999999999994,2048
2,control,2.4912106613519054,0.008978784524373555,0.9905885154259768,3.2184975302850956,9.46178807705418e-16,0.9999999999999993,2048
3,control,3.1391156649020098,0.023069737281705253,0.9848673858525179,3.994266338391059,6.375215552915073e-15,0.999999999999997,2048
4,control,3.581914474090352,0.055639857949088434,0.9722966897946291,4.527809612288257,3.506025477251312e-15,0.9999999999999988,2048
5,control,3.9661137981078296,0.01428012757465573,0.9942772708580493,4.73782469602205,1.3409757110250535e-14,0.9999999999999969,2048
6,control,4.314833817007809,0.00857622763875556,0.9971148002671608,4.961391764238597,6.12407175010036e-17,1.0,2048
7,control,4.386626860185863,0.007220864975826364,0.9977853477052474,4.992890863153851,6.207204618632228e-15,0.9999999999999987,2048
8,control,4.284663661496369,0.007977716678988209,0.9975906358033587,4.959056329715491,1.9714491902782165e-15,0.9999999999999996,2048
9,control,4.394641860187875,0.012559210630377309,0.9965366970214804,5.229651751277948,4.548841875407556e-15,0.9999999999999991,2048
10,control,4.847689355555129,0.01611625059733907,0.9964089092990054,5.923787897218447,1.0562839168424347e-16,1.0,2048
11,control,5.87567229507082,0.019822517804185615,0.9968107047992101,7.428779480139012,1.2751753949697201e-14,0.9999999999999984,2048
12,control,6.612084151276409,0.023867836287759316,0.997104030375152,8.173581412453997,3.689817680859338e-16,1.0,2048
13,control,7.851887129564201,0.02922234150469569,0.9975148875214201,9.416815173662336,3.6239744800298635e-15,0.9999999999999998,2048
14,control,9.240729148248882,0.03455998235594872,0.9978950188874274,10.936072216846249,4.4293682255042994e-16,1.0,2048
15,control,10.792439997636157,0.04569144095277556,0.9980010924183091,12.456748190330792,1.2741842197977275e-15,1.0,2048
16,control,70.88018528786327,2.889372159086053,0.997184699092076,80.52796719011924,1.367029014673275e-16,1.0,2048
