Layer,Clustering_Quality,Mean_Intra_Cluster,Mean_Inter_Cluster,Control_Pairwise,Mean_Control_to_Temporal
0,1.0172052620434258,0.597390600548131,0.607668862372841,0.13281763585634107,1.2695782
1,1.0263180080263388,0.9770086781750794,1.0027216004090937,0.6152415819000939,3.3112006
2,1.0447536438620246,1.162114005957638,1.214122842307337,1.2196887498306361,4.3219633
3,1.0542869586747428,1.4802225408228435,1.560579320725916,1.575560503843513,5.411151
4,1.0610225259298423,1.8969128036564167,2.01266721440419,1.8932350973780294,6.1222425
5,1.0558396617334684,2.0468026647567727,2.161095433191953,2.4838768208174944,6.6722283
6,1.083341781693479,2.2301049749688366,2.4159658969462305,2.458041801643847,7.293149
7,1.0821299497280825,2.4013024937068432,2.5985213467969053,2.560934863765809,7.7029343
8,1.0759940308032894,2.6111842680421966,2.80961868574086,2.486366156784378,7.8077006
9,1.068541749239868,2.7986774027780745,2.9905036475225746,2.5011697903715953,8.30591
10,1.0619037765312154,3.0007084363647416,3.186463620844797,2.6898741144288993,9.33152
11,1.0614342417054703,3.541352288158067,3.7589125805929897,2.9687913987534476,10.86958
12,1.05791896101441,3.9766105461984,4.2069316973931565,3.6086934819669154,12.52239
13,1.062017144043674,4.7678421521430465,5.063530105670003,4.448537225581897,15.37242
14,1.0591200233772606,5.787676223797071,6.129843777447969,5.3706904042450585,18.147627
15,1.0793901675743032,6.435109464169107,6.9459938828884775,6.550852345691716,21.39841
16,1.1348547297995097,20.563007977131008,23.336026861752174,48.186262806047445,137.30238
